#fusion	count_of_samples	%ofSamples
PSAP--HBA2	60	1.63
PRSS1--CLPS	60	1.63
PILRB--PVRIG|GATS	60	1.63
ORM1--ALB	60	1.63
LILRB1--LILRB2	60	1.63
KRT2--KRT1	60	1.63
HBA2--HLA-E	60	1.63
GP2--CEL	60	1.63
GAPDH--HBB	60	1.63
CRNN--SPRR3	60	1.63
CPA1--CLPS	60	1.63
CELA3A--CTRC	60	1.63
CEL--GP2	60	1.63
C3--SERPINA1	60	1.63
TTN--NEB	59	1.60
TPM2--TPM3	59	1.60
PGC--PGA4	59	1.60
PGA4--PGC	59	1.60
PDZD2--TPT1	59	1.60
KRT13--GAPDH	59	1.60
HP--APOA1	59	1.60
HBB--SLC11A1	59	1.60
GFAP--MBP	59	1.60
CTRC--CELA3A	59	1.60
CTRB2--CLPS	59	1.60
CTRB2--CELA3B	59	1.60
CRNN--KRT6A	59	1.60
CELA3B--CTRB2	59	1.60
APOA1--SERPINA1	59	1.60
ALDOA--KRT13	59	1.60
SPRR3--CRNN	58	1.58
SPRR1B--SPRR3	58	1.58
SFTPC--MYH9	58	1.58
SF3B4--FAM71D	58	1.58
PNLIP--PRSS1	58	1.58
PDE3A--PRSS1	58	1.58
MYL9--ACTG2	58	1.58
MYH7--MYH7B	58	1.58
MYH11--MYL9	58	1.58
MUC21--KRT4	58	1.58
MBP--GFAP	58	1.58
MARCH1--HSPA5	58	1.58
KRT4--MUC21	58	1.58
KRT13--ALDOA	58	1.58
HBB--C10orf54	58	1.58
CPA1--CPA2	58	1.58
CLPS--CEL	58	1.58
CCDC152|SEPP1--SEPP1	58	1.58
C10orf54--HBA2	58	1.58
BGN--FLNA	58	1.58
ALB--ORM1	58	1.58
ACTG2--ACTC1	58	1.58
TCAP--MYH7	57	1.55
SFTPC--AGER	57	1.55
REG1A--GP2	57	1.55
PRSS1--PNLIP	57	1.55
PGC--LIPF	57	1.55
LIPF--PGC	57	1.55
KRT14--KRT1	57	1.55
KRT13--MAL	57	1.55
HBA2--C10orf54	57	1.55
GP2--REG1A	57	1.55
GNAS--TG	57	1.55
CTSB--TG	57	1.55
COL6A1--FLNA	57	1.55
CLPS--PRSS1	57	1.55
CLPS--CELA3A	57	1.55
CEL--CLPS	57	1.55
APOA1--HP	57	1.55
ALDOA--ACTA1	57	1.55
SLC11A1--HBB	56	1.52
SERPINA1--FGB	56	1.52
SERPINA1--APOA1	56	1.52
SDC1--KRT13	56	1.52
PAX8--TG	56	1.52
NDE1|MYH11--COL6A1	56	1.52
MYH6--DES	56	1.52
KRT8--CEP120	56	1.52
KRT15--KRT4	56	1.52
KRT13--SBSN	56	1.52
KRT13--A2ML1	56	1.52
HFM1--HBA2	56	1.52
HBB--XPO6	56	1.52
HBA2--HLA-C	56	1.52
HBA1--S100A9	56	1.52
FTL--HBA1	56	1.52
DES--COL6A1	56	1.52
CPA1--CELA3B	56	1.52
CKB--CKM	56	1.52
ATP6V1C2|PDIA6--PDIA6	56	1.52
ACTG1--ACTG2	56	1.52
VIM--FLNA	55	1.50
TPM2--ACTA1	55	1.50
TMSB4X--CCSER1	55	1.50
SFN--KRT4	55	1.50
RPL3--IQCA1	55	1.50
PDE3A--CPA1	55	1.50
MYH7--TCAP	55	1.50
MYH7--MYL2	55	1.50
KRT4--SFN	55	1.50
KRT4--S100A8	55	1.50
KRT4--KRT15	55	1.50
HLA-A--HLA-E	55	1.50
GP2--CLPS	55	1.50
GLUD1--GLUD2	55	1.50
FLNA--HBB	55	1.50
DES--KRT13	55	1.50
CPB1--PRSS1	55	1.50
CELA3B--CPA1	55	1.50
CELA3A--CLPS	55	1.50
ACOT2--HEATR4|ACOT1	55	1.50
TRIP11--PTMA	54	1.47
TPM2--MYH9	54	1.47
TGM1--KRT13	54	1.47
SERPINA1--HBB	54	1.47
REG1A--CPB1	54	1.47
PRSS1--CPB1	54	1.47
PGA5--LIPF	54	1.47
PDE3A--PGA3	54	1.47
NDE1|MYH11--AHNAK	54	1.47
MYL12B--MYL12A	54	1.47
KRT14--KRT6A	54	1.47
KRT13--TGM1	54	1.47
KRT13--SPRR1B	54	1.47
KRT13--DES	54	1.47
IFITM2--IFITM1	54	1.47
HBB--IFITM2	54	1.47
HBA2--PSAP	54	1.47
GP2--CPB1	54	1.47
FLNC--ACTA1	54	1.47
FLNA--VIM	54	1.47
FGB--SERPINA1	54	1.47
CTRB1--CELA3B	54	1.47
CPB1--REG1A	54	1.47
CPB1--GP2	54	1.47
CPB1--CEL	54	1.47
CLPS--CTRB2	54	1.47
CELA3B--CTRB1	54	1.47
ALDOB--ALB	54	1.47
ALB--ALDOB	54	1.47
ACTA1--TPM2	54	1.47
TMEM99|KRT10--KRT15	53	1.44
TG--GNAS	53	1.44
TG--CLU	53	1.44
S100A9--KRT5	53	1.44
RPL8--KRT13	53	1.44
RIMS2--RPS6	53	1.44
PSMC2|SLC26A5--CPNE4	53	1.44
PPIE|BMP8B--BMP8A	53	1.44
PGA3--LIPF	53	1.44
PDE3A--TG	53	1.44
LIPF--PGA5	53	1.44
LIPF--PGA3	53	1.44
KRT6A--KRT14	53	1.44
KRT6A--CRNN	53	1.44
KRT2--TMEM99|KRT10	53	1.44
KRT13--PKP1	53	1.44
KCNMB3--LRRFIP1	53	1.44
HLA-F--HLA-C	53	1.44
GP2--CTRB2	53	1.44
FGB--HP	53	1.44
EIF3E--GRB14	53	1.44
CYP2A6--CYP2A7	53	1.44
CYP11B1--CYP11B2	53	1.44
CTSD--SFTPC	53	1.44
CTRB2--GP2	53	1.44
CLPS--GP2	53	1.44
CEL--CPB1	53	1.44
CD52|UBXN11--CD52	53	1.44
UTY--PSMA6|KIAA0391	52	1.41
UGT2B17--UGT2B15	52	1.41
SAA4--SAA1	52	1.41
OST4--AGBL5|OST4	52	1.41
NEB--TTN	52	1.41
MYL6--SH3BGR	52	1.41
MT1G--MT1E	52	1.41
KRT13--S100A16	52	1.41
KRT13--RPL8	52	1.41
IFITM2--HBB	52	1.41
HP--FGB	52	1.41
HLA-DPB1--HLA-DPA1|HLA-DPB1	52	1.41
CTRB1--CLPS	52	1.41
CRYAB--DES	52	1.41
CLPS--CTRB1	52	1.41
CELA3A--CELA2A	52	1.41
CELA2A--CELA3A	52	1.41
BEST1|FTH1--FTH1	52	1.41
ALB--APOA1	52	1.41
ACTB--SFTPC	52	1.41
TXN2--PRKACB	51	1.39
TG--EEF2	51	1.39
SPINK5--KRT13	51	1.39
SFTPC--CTSD	51	1.39
SFTPC--ACTB	51	1.39
SERPINA1--ORM1	51	1.39
SERPINA1--FGG	51	1.39
SERPINA1--APOE	51	1.39
REG1A--CTRB1	51	1.39
PRSS1--CPA2	51	1.39
PLA2G1B--CPA1	51	1.39
PDE3A--KRT1	51	1.39
MYH6--TNNT2	51	1.39
MB--CKM	51	1.39
HLA-B--SFTPC	51	1.39
HLA-A--HBA2	51	1.39
HBB--SERPINA1	51	1.39
HBB--PSAP	51	1.39
HBB--FLNA	51	1.39
FGG--SERPINA1	51	1.39
EEF2--TG	51	1.39
CTRC--PRSS1	51	1.39
CLU--TG	51	1.39
CEP120--KRT8	51	1.39
CEL--CELA3B	51	1.39
CCDC30--TMSB4X	51	1.39
APOE--SERPINA1	51	1.39
APOA1--ALB	51	1.39
YWHAZ--CASK	50	1.36
TPM2--TAGLN	50	1.36
TF--ALB	50	1.36
SPRR2D--SPRR2A	50	1.36
SPRR1B--KRT13	50	1.36
SLCO5A1--INTS4	50	1.36
SLC2A3--SLC2A14	50	1.36
SFTPC--A2M	50	1.36
SAR1A--CALM2	50	1.36
PRSS1--CTRC	50	1.36
PRSS1--CELA2A	50	1.36
PDE3A--PGC	50	1.36
PDE3A--MB	50	1.36
PCSK7|TAGLN--ACTG2	50	1.36
MB--ACTA1	50	1.36
LOR--KRT10	50	1.36
KRT5--TMEM99|KRT10	50	1.36
HLA-A--HBB	50	1.36
HBB--ALAS2	50	1.36
DES--TNNC1	50	1.36
CTRB1--REG1A	50	1.36
CPA1--PLA2G1B	50	1.36
CNN1--DES	50	1.36
CELA2A--PRSS1	50	1.36
CELA2A--CTRB1	50	1.36
ALB--APOC3	50	1.36
ALB--APOA2	50	1.36
TNNT2--MYH6	49	1.33
TNNC1--DES	49	1.33
TMEM99|KRT10--KRT5	49	1.33
THEGL--GLDC	49	1.33
TGM3--KRT4	49	1.33
SPRR3--CSTB	49	1.33
SFTPC--HLA-B	49	1.33
SERPINA3--SERPINA1	49	1.33
S100A16--KRT13	49	1.33
PSAP--HBB	49	1.33
NUDC--DFNB59	49	1.33
NBL1|MINOS1-NBL1--NBL1	49	1.33
KLK3--KLK2	49	1.33
HLA-C--HLA-F	49	1.33
HBA2--MMP25	49	1.33
GAPDH--HBA2	49	1.33
FLNC--CKM	49	1.33
CTRB2--REG1A	49	1.33
CPNE4--PSMC2|SLC26A5	49	1.33
CPA2--PRSS1	49	1.33
CKM--FLNC	49	1.33
CELA3B--CEL	49	1.33
CEL--PNLIP	49	1.33
APOC3--ALB	49	1.33
APOB--ALB	49	1.33
APOA2--ALB	49	1.33
ALB--TF	49	1.33
ALB--SERPINA3	49	1.33
ACTN1--ACTN4	49	1.33
TUBB4B|FAM166A--TUBB4B	48	1.31
TPT1--KRT13	48	1.31
TG--CALR	48	1.31
TAGLN--TPM2	48	1.31
SLC25A37--HBA1	48	1.31
SERPINA3--ALB	48	1.31
SERPINA1--SERPINA3	48	1.31
RBP4--HP	48	1.31
RBP4--ALB	48	1.31
PNLIP--CEL	48	1.31
PDE3A--PGA5	48	1.31
PCSK7|TAGLN--MYH9	48	1.31
MLH1--RPL29	48	1.31
KRT13--SRRM2	48	1.31
HBB--HLA-A	48	1.31
HBA2--GAPDH	48	1.31
FLNA--BGN	48	1.31
DUOX1--DUOX2	48	1.31
CTRC--CPA1	48	1.31
CTRB1--CELA2A	48	1.31
CRNN--KRT5	48	1.31
CPB1--PNLIP	48	1.31
COL6A1--DES	48	1.31
CKM--ALDOA	48	1.31
CELA3B--CTRC	48	1.31
CALR--TG	48	1.31
ALB--RBP4	48	1.31
ZNF354C--CSDE1	47	1.28
ZNF286B--FOXO3	47	1.28
XPO6--HBB	47	1.28
UMOD--GPX3	47	1.28
SERPINA1--VTN	47	1.28
RPL10A--PTPRG	47	1.28
RBP4--SERPINA1	47	1.28
PNLIP--CELA3A	47	1.28
PDE3A--LIPF	47	1.28
NEB--CKM	47	1.28
KRT13--MYH9	47	1.28
KRT13--ENO1	47	1.28
KCNH1--IPO7	47	1.28
HIGD2A|NOP16--HIGD2A	47	1.28
HBA2--HFM1	47	1.28
EMP1--KRT4	47	1.28
EIF3E--KHDC1	47	1.28
CTRB2--PRSS3	47	1.28
CPA1--CTRC	47	1.28
CELA3B--CLPS	47	1.28
CELA2A--CPA1	47	1.28
CEACAM1--CEACAM5	47	1.28
ALB--APOB	47	1.28
AHNAK--NDE1|MYH11	47	1.28
ACTA1--MB	47	1.28
ABCA3--RPS16	47	1.28
TMSB4X--BCAS4	46	1.25
TCAP--DES	46	1.25
SERPINA1--RBP4	46	1.25
RPLP2--SLC35F2	46	1.25
RPL15|NKIRAS1--CORIN	46	1.25
REG1A--CTRB2	46	1.25
PRSS3--CTRB2	46	1.25
PDE3A--DES	46	1.25
MYH8--MYH1	46	1.25
MYH7--TNNC1	46	1.25
MMP25--HBB	46	1.25
LENG8--LENG9|LENG8	46	1.25
KRT5--S100A9	46	1.25
KRT5--KRT6B	46	1.25
KRT16--KRT14	46	1.25
KRT14--KRT13	46	1.25
KRT13--SPINK5	46	1.25
KRT13--FLNA	46	1.25
HBA2--HLA-A	46	1.25
GLDC--THEGL	46	1.25
FOXO3--ZNF286B	46	1.25
FLNA--KRT13	46	1.25
DES--TNNT1	46	1.25
DES--ACTA2	46	1.25
CTRL--CTRB1	46	1.25
CTRC--CELA3B	46	1.25
CSTB--SPRR3	46	1.25
CPA1--CELA2A	46	1.25
COX20--TET1	46	1.25
CLPS--CELA3B	46	1.25
CKM--NEB	46	1.25
CKM--MB	46	1.25
CKM--GAPDH	46	1.25
CELA3A--PNLIP	46	1.25
CELA2A--CELA3B	46	1.25
ATF5|IL4I1|NUP62--ATF5	46	1.25
ALDOA--CKM	46	1.25
YWHAB--TSG101	45	1.22
TG--PSAP	45	1.22
SFTPC--FN1	45	1.22
REG3A--REG3G	45	1.22
PSAP--TG	45	1.22
PNLIP--CPB1	45	1.22
ORM1--SERPINA1	45	1.22
NEGR1--GDI2	45	1.22
NDE1|MYH11--SMTN	45	1.22
MYH9--FLNA	45	1.22
MYH7--ALDOA	45	1.22
LIPF--PGA4	45	1.22
LILRB3--LILRB4	45	1.22
KRT13--TACSTD2	45	1.22
KRT13--SDC1	45	1.22
HBD--HBA2	45	1.22
GPX3--UMOD	45	1.22
FN1--SFTPC	45	1.22
FLNA--SMTN	45	1.22
FLNA--MYH9	45	1.22
DES--ACTC1	45	1.22
CTRB1--CPB1	45	1.22
CKM--MYL2	45	1.22
CELA3A--CPB1	45	1.22
ALDOA--MYH7	45	1.22
ACTG2--ACTG1	45	1.22
A2M--SFTPC	45	1.22
VTN--ALB	44	1.20
TPI1--FRK	44	1.20
TNNC1--MYH7	44	1.20
SRRM2--KRT13	44	1.20
SERPING1--ALB	44	1.20
RPL18A--ANO10	44	1.20
RHCG--KRT6A	44	1.20
REG1A--CLPS	44	1.20
PGA4--LIPF	44	1.20
NDE1|MYH11--KRT13	44	1.20
KRT13--S100A2	44	1.20
HBA1--FTL	44	1.20
GATAD2B--PLIN2	44	1.20
FLNA--TPM1	44	1.20
EEF2--CPA1	44	1.20
CYP11B2--CYP11B1	44	1.20
CPB1--CTRB1	44	1.20
CPB1--CELA3A	44	1.20
CELA3B--CELA2A	44	1.20
AMBP--ALB	44	1.20
ALB--AMBP	44	1.20
TPT1--SFTPC	43	1.17
TG--FCGBP	43	1.17
SPRN|CYP2E1--ALB	43	1.17
SLC25A51--TMX2	43	1.17
REG1A--CELA3A	43	1.17
PVRIG|GATS--PILRB	43	1.17
PDE3A--SPRR3	43	1.17
PDE3A--PNLIP	43	1.17
ORM1--HP	43	1.17
NDRG1--KRT13	43	1.17
NDE1|MYH11--CNN1	43	1.17
MYL2--CKM	43	1.17
MYH4--MYH1	43	1.17
KRT13--TPT1	43	1.17
IGFBP5--TG	43	1.17
HP--ORM1	43	1.17
GP2--CELA3B	43	1.17
GOLGA8B--GOLGA8A	43	1.17
FKBP8--HBA1	43	1.17
ENO1--KRT13	43	1.17
DLG2--HBB	43	1.17
CPA1--EEF2	43	1.17
COL6A1--NDE1|MYH11	43	1.17
CELA3B--GP2	43	1.17
CELA3A--REG1A	43	1.17
CEACAM6--CEACAM5	43	1.17
CEACAM5--CEACAM1	43	1.17
ATP5B--VWA3B	43	1.17
ALB--VTN	43	1.17
ALB--SPRN|CYP2E1	43	1.17
ALB--SERPING1	43	1.17
ALAS2--HBB	43	1.17
VTN--SERPINA1	42	1.14
TPM1--FLNA	42	1.14
TACSTD2--KRT13	42	1.14
PRSS3--CPA1	42	1.14
PNLIPRP1--CPA1	42	1.14
PNLIP--GP2	42	1.14
PDE3A--REG1A	42	1.14
NDE1|MYH11--FN1	42	1.14
MYL9--PCSK7|TAGLN	42	1.14
MYL9--ACTA2	42	1.14
MYL12B--HBB	42	1.14
LPA--PLG	42	1.14
KRT4--TGM3	42	1.14
KRT4--KRT16	42	1.14
KRT4--IL1RN	42	1.14
KRT16--KRT6A	42	1.14
KHK|CGREF1--KHK	42	1.14
HBB--STXBP2	42	1.14
GSPT1--COX6C	42	1.14
GP2--PNLIP	42	1.14
GAPDH--CKM	42	1.14
FTL--CDH1	42	1.14
FTH1--HBA2	42	1.14
FGG--HP	42	1.14
FGB--C3	42	1.14
FCGBP--TG	42	1.14
EFCAB3--RPLP2	42	1.14
CTRB1--PRSS3	42	1.14
CPB1--CLPS	42	1.14
CPA1--REG1B	42	1.14
CLPS--CPB1	42	1.14
B2M--SFTPC	42	1.14
ATP1A1--UMOD	42	1.14
APOE--ALB	42	1.14
ALB--APOE	42	1.14
AGAP1--TMSB10	42	1.14
ACTB--HBA1	42	1.14
VTN--HP	41	1.11
TPT1--CKM	41	1.11
TG--APLP2	41	1.11
TF--SERPINA1	41	1.11
SPI1--HBB	41	1.11
SLC11A1--HBA2	41	1.11
SFTPC--B2M	41	1.11
SERPINA1--TF	41	1.11
RPS24--GPC3	41	1.11
REG3G--REG3A	41	1.11
REG1B--CPA1	41	1.11
PLA2G1B--PRSS1	41	1.11
MYH9--TPM2	41	1.11
MYH9--KRT13	41	1.11
MYH7--TNNT1	41	1.11
MFSD11|SRSF2--SRSF2	41	1.11
KRT6A--RHCG	41	1.11
KRT6A--KRT16	41	1.11
KRT5--KRT15	41	1.11
KRT16--KRT5	41	1.11
KIAA1671--STMN3	41	1.11
IPO7--KCNH1	41	1.11
IL1RN--KRT4	41	1.11
HP--RBP4	41	1.11
HP--FGG	41	1.11
FTL--SFTPB	41	1.11
EEF2--SFTPC	41	1.11
EEF1A1--KRT13	41	1.11
ECM1--KRT4	41	1.11
CTSD--SFTPA2	41	1.11
CTRC--CTRB1	41	1.11
CTRB2--CELA2A	41	1.11
CTRB1--CTRL	41	1.11
CLU--ALB	41	1.11
CLPS--REG1A	41	1.11
CFHR1--CFH	41	1.11
CELA2A--CTRB2	41	1.11
BEX1--BEX2	41	1.11
APOH--ALB	41	1.11
ALB--CLU	41	1.11
ACTG1--PSMF1	41	1.11
VIM--TG	40	1.09
UMOD--ATP1A1	40	1.09
SBSN--KRT13	40	1.09
RPS15--CACNA2D3	40	1.09
PRSS1--PLA2G1B	40	1.09
NDE1|MYH11--SYNPO2	40	1.09
KRT5--CRNN	40	1.09
KRT4--SPRR1A	40	1.09
KRT4--KRT14	40	1.09
KRT4--EMP1	40	1.09
KRT14--KRT4	40	1.09
KRT13--CSTA	40	1.09
HP--ALDOB	40	1.09
HLA-F--HLA-A	40	1.09
HFM1--SLCO5A1	40	1.09
HBB--ALDOA	40	1.09
GP2--CPA2	40	1.09
FTL--SFTPC	40	1.09
EMR3--ITGB1	40	1.09
EEF2--FLNA	40	1.09
DMKN--KRT1	40	1.09
CPA2--CPB1	40	1.09
CPA1--PRSS3	40	1.09
ALB--APOH	40	1.09
ZYX--HBB	39	1.06
TTC7B--RPS18	39	1.06
TSG101--YWHAB	39	1.06
TPT1--TG	39	1.06
TG--TPT1	39	1.06
TG--IGFBP5	39	1.06
TG--EGR1	39	1.06
TF--HP	39	1.06
TCIRG1--HBB	39	1.06
STXBP2--HBB	39	1.06
SPRR2A--SPRR2D	39	1.06
SLC34A2--SFTPA2	39	1.06
SLC34A2--SFTPA1	39	1.06
SLC25A39--HBB	39	1.06
SFTPC--TPT1	39	1.06
SFTPC--FTL	39	1.06
SFTPC--EEF2	39	1.06
SFTPB--FTL	39	1.06
SFN--KRT6A	39	1.06
RRBP1--TG	39	1.06
RPS6--RIMS2	39	1.06
RPS2--TAOK3	39	1.06
RAB13--RAB5B	39	1.06
PRSS3--CTRB1	39	1.06
PPHLN1--FXR1	39	1.06
PNLIP--CTRB2	39	1.06
PNLIP--CLPS	39	1.06
PDE3A--CTRB2	39	1.06
PCBD2--HP	39	1.06
MYO1F--HBB	39	1.06
LILRB4--LILRB3	39	1.06
KRT6A--SFN	39	1.06
KRT5--KRT16	39	1.06
KRT4--AQP3	39	1.06
KRT16--KRT4	39	1.06
KRT16--KRT13	39	1.06
KRT13--IVL	39	1.06
HBB--ZYX	39	1.06
HBB--MYL12B	39	1.06
HBB--MMP25	39	1.06
FLNA--EEF2	39	1.06
FLNA--CNN1	39	1.06
EGR1--TG	39	1.06
DES--NEB	39	1.06
DES--MYH1	39	1.06
CTRB2--PNLIP	39	1.06
CTRB1--CTRC	39	1.06
CPA2--GP2	39	1.06
CPA1--PNLIPRP1	39	1.06
CLPS--PNLIP	39	1.06
CD74--HBB	39	1.06
C3--APOA1	39	1.06
ATF5--ATF5|IL4I1|NUP62	39	1.06
ANXA1--KRT4	39	1.06
ALDOB--HP	39	1.06
ALB--TTR	39	1.06
ACTG1--KRT4	39	1.06
ACTC1--DES	39	1.06
ACTB--TG	39	1.06
ACTB--KRT4	39	1.06
ACTA2--DES	39	1.06
TUBG2--TUBG1	38	1.03
TTR--ALB	38	1.03
TG--VIM	38	1.03
TG--ACTB	38	1.03
TET1--COX20	38	1.03
SERPINA1--ITIH4	38	1.03
S100A2--KRT13	38	1.03
S100A11--KRT13	38	1.03
RPLP1--RGS7	38	1.03
RAB3D|TMEM205--CCDC159|TMEM205|RAB3D	38	1.03
PRSS3--CELA3A	38	1.03
PNLIP--REG1A	38	1.03
PITX1--KRT13	38	1.03
PDE3A--CSTB	38	1.03
PDE3A--CPB1	38	1.03
NDE1|MYH11--MYLK	38	1.03
MYL2--ACTA1	38	1.03
MYH6--NPPA	38	1.03
MUC21--KRT6A	38	1.03
LAPTM5--HBB	38	1.03
KRT7--TG	38	1.03
KRT19--KRT14	38	1.03
KRT13--TAF15	38	1.03
KRT13--NDRG1	38	1.03
KRT13--NDE1|MYH11	38	1.03
KIAA0825--PCBD2	38	1.03
HSPB1--KRT4	38	1.03
HP--TF	38	1.03
HP--APOE	38	1.03
HBB--SPI1	38	1.03
HBB--MYH9	38	1.03
HBA2--HBD	38	1.03
HBA2--EEF2	38	1.03
GC--ALB	38	1.03
FN1--NDE1|MYH11	38	1.03
FAM153B--FAM153A	38	1.03
EEF2--HBA2	38	1.03
CNFN--KRT13	38	1.03
CELA3B--CPB1	38	1.03
CELA3A--CPA2	38	1.03
C3--FGB	38	1.03
C3--FGA	38	1.03
APOA1--C3	38	1.03
APLP2--TG	38	1.03
AMBP--SERPINA1	38	1.03
AKR1B15--AKR1B10	38	1.03
AGER--SFTPA2	38	1.03
UNC45B--DLG2	37	1.01
TRIM29--KRT4	37	1.01
TPM3--C15orf41	37	1.01
TG--RRBP1	37	1.01
TG--EEF1A1	37	1.01
TG--ATP1A1	37	1.01
TG--ACTG1	37	1.01
SPRR2A--SPRR2B	37	1.01
SMTN--NDE1|MYH11	37	1.01
SMTN--FLNA	37	1.01
SFTPC--FLNA	37	1.01
SFTPA2--SLC34A2	37	1.01
SFTPA2--FTL	37	1.01
RPS18--TTC7B	37	1.01
REG1B--GP2	37	1.01
REG1A--PNLIP	37	1.01
PYGM--ACTA1	37	1.01
PRSS1--EEF2	37	1.01
PGA5--ATP4A	37	1.01
PDE3A--MYH7	37	1.01
NPPA--MYH6	37	1.01
NPEPPS--TBC1D3	37	1.01
NDE1|MYH11--TXNIP	37	1.01
NBL1--NBL1|MINOS1-NBL1	37	1.01
MYH7--FLNC	37	1.01
MYBPC1--ACTA1	37	1.01
KRT4--ANXA1	37	1.01
KRT13--KRT17	37	1.01
ITIH4--ALB	37	1.01
HSP90B1--TG	37	1.01
HPX--ALB	37	1.01
HP--VTN	37	1.01
HLA-B--HBA1	37	1.01
HBB--LAPTM5	37	1.01
HBA2--SLC11A1	37	1.01
GPX3--ALDOB	37	1.01
FTL--SFTPA2	37	1.01
FTH1--PPM1G	37	1.01
FLNA--TGM2	37	1.01
FGA--C3	37	1.01
ENTHD1--UQCRFS1	37	1.01
EEF1A1--TG	37	1.01
DLST--ACADM	37	1.01
CSTA--KRT13	37	1.01
CPB1--CPA2	37	1.01
COL3A1--COL1A2	37	1.01
CKM--TPT1	37	1.01
CKM--OBSCN	37	1.01
CEL--CTRC	37	1.01
CD151|POLR2L--CD151	37	1.01
CALM2--SAR1A	37	1.01
ATP1A1--TG	37	1.01
ATF4--RNF157	37	1.01
ALDOB--GPX3	37	1.01
ALB--HPX	37	1.01
ALB--GC	37	1.01
TTN--TPM2	36	0.98
TNNT1--DES	36	0.98
TG--HSP90B1	36	0.98
SLC25A39--HBA2	36	0.98
SFTPC--MUC1	36	0.98
SFTPC--GPRC5A	36	0.98
SFTPC--EPAS1	36	0.98
SFTPA2--CTSD	36	0.98
SFTPA2--B2M	36	0.98
SERPINA1--APOC3	36	0.98
SERPINA1--AMBP	36	0.98
RPLP2--EFCAB3	36	0.98
RPL29--MLH1	36	0.98
PDE3A--CYP17A1	36	0.98
NAPSA--SFTPC	36	0.98
LRRK2--HLA-C	36	0.98
KRT6C--KRT6B	36	0.98
KRT5--KRT10	36	0.98
KRT5--CSTB	36	0.98
KRT4--ACTG1	36	0.98
KRT13--PITX1	36	0.98
KRT13--JUP	36	0.98
KRT13--CALML3	36	0.98
KRT10--LOR	36	0.98
JUN--TG	36	0.98
HP--AMBP	36	0.98
HLA-DRB5--HLA-DQB1	36	0.98
HLA-DQA1--HLA-DQA2	36	0.98
HLA-C--SFTPC	36	0.98
HBB--CD74	36	0.98
HBB--ARHGDIB	36	0.98
HBA1--FKBP8	36	0.98
GP2--REG1B	36	0.98
FLNA--SFTPC	36	0.98
FAM19A2--RPS3	36	0.98
ERP29--ZFP64	36	0.98
EEF2--PRSS1	36	0.98
DES--OBSCN	36	0.98
DES--MYBPC3	36	0.98
CTRL--CTRB2	36	0.98
CTDNEP1--GRAMD1C	36	0.98
CPA1--SYCN	36	0.98
CORIN--RPL15|NKIRAS1	36	0.98
COL1A2--COL3A1	36	0.98
CFB--ALB	36	0.98
CELA2B--CELA3A	36	0.98
CELA2A--PNLIP	36	0.98
CEACAM5--CEACAM8	36	0.98
CALML3--KRT13	36	0.98
C1S--SERPINA1	36	0.98
ATP4A--PGC	36	0.98
ATP4A--PGA5	36	0.98
APOC3--SERPINA1	36	0.98
ACTB--MYH11	36	0.98
ACTA1--MYBPC1	36	0.98
ACO2|POLR3H--ACO2	36	0.98
XPO6--HBA2	35	0.95
VIM--HBB	35	0.95
TNNT1--MYH7	35	0.95
TNNT1--ACTA1	35	0.95
TMEM99|KRT10--TMEM99	35	0.95
TG--KRT7	35	0.95
TG--JUN	35	0.95
SYCN--CPA1	35	0.95
SFTPC--HLA-E	35	0.95
SERPINA1--APOA2	35	0.95
RHCG--SPRR3	35	0.95
PNLIP--CELA3B	35	0.95
PNLIP--CELA2A	35	0.95
PKM--KRT13	35	0.95
PGC--MUC6	35	0.95
PCSK7|TAGLN--TNS1	35	0.95
PCSK7|TAGLN--ACTB	35	0.95
OAZ1--HBA2	35	0.95
NDE1|MYH11--GSN	35	0.95
MYH11--ACTB	35	0.95
MYBPC3--MYH7	35	0.95
MB--TPM2	35	0.95
KRT6A--ANXA1	35	0.95
KRT4--TRIM29	35	0.95
KRT4--ACTB	35	0.95
KRT17--KRT14	35	0.95
KDM5B--COX7C	35	0.95
JUP--KRT4	35	0.95
IVL--KRT13	35	0.95
ITIH4--SERPINA1	35	0.95
HSPB6--DES	35	0.95
HBB--TCIRG1	35	0.95
HBB--MYO1F	35	0.95
GP2--CELA2A	35	0.95
EPAS1--SFTPC	35	0.95
CYP2A6--CYP2A13	35	0.95
CTRC--CTRB2	35	0.95
CTRB2--CTRC	35	0.95
CPB1--CELA3B	35	0.95
COX7B--TCEANC2	35	0.95
CNN1--NDE1|MYH11	35	0.95
CLPS--CPA2	35	0.95
CKM--TNNT1	35	0.95
CKM--MYBPC1	35	0.95
CELA3A--CELA2B	35	0.95
CELA2A--GP2	35	0.95
CELA2A--CEL	35	0.95
CAB39--BANF1	35	0.95
B2M--SFTPA2	35	0.95
ANXA1--KRT6A	35	0.95
AMBP--HP	35	0.95
ALDOA--HBB	35	0.95
ALB--ITIH4	35	0.95
ALB--HRG	35	0.95
ALB--CFB	35	0.95
AHNAK--KRT4	35	0.95
AEBP1--FLNA	35	0.95
ACTG1--TG	35	0.95
ACTB--PCSK7|TAGLN	35	0.95
ACTB--ACTC1	35	0.95
ACTA1--TNNT1	35	0.95
ACTA1--EEF1A2	35	0.95
ZYX--HBA2	34	0.92
TTN--MB	34	0.92
TPM2--TTN	34	0.92
